Location,Name,Address,Postcode,lat,lng
Camborne,St Martins & Meriadoc's Church,"Church St, Camborne, Cornwall",TR14 7DF,,
Tuckingmill,All Saints Church,"Tuckingmill, Cornwall",TR14 8RQ,,
Penponds,Holy Trinity Church,"Church Road, Penponds, Camborne",TR14 0QE,,
Crowan,Crowan Church,"Crowan, Camborne, Cornwall",TR14 9NB,,
Treslothan,Treslothan Church,"Treslothan, Camborne, Cornwall",TR14 9LP,,
St Day,Holy Trinity Church,"Church Street, St Day, Redruth",TR16 5LD,,
Carharrack,St Piran’s Mission Church,"Church Street, Carharrack, Redruth",TR16 5RP,,
Gwennap,St Wenappa Church,"Church Lane, Gwennap, Redruth",TR16 6BD,,
Chacewater,St Paul’s Church,"Church Hill, Chacewater, Truro",TR4 8PZ,,
Stithians,St Stythians Church,"Church Road, Stithians, Redruth",TR3 7RN,,
St Andrews,St Andrew’s Church,"Clinton Road, Redruth",TR15 2LL,,
St Euny,St Euny Church,"Church Town, Redruth",TR15 3BT,,
Pencoys,St Andrew’s Church,"Church Road, Four Lanes, Redruth",TR16 6LT,,
Lanner,Christ Church,"Rough St, Lanner, Cornwall",TR16 6ER,,
Treleigh,St Stephen’s Church,"Treleigh, Cornwall",TR16 4AY,,
Illogan,St Illogan Parish Church,"Church Road, Illogan, Redruth",TR16 4SR,,
Trevenson,Trevenson Church (St Illogan),"Church Road, Pool, Redruth",TR15 3PT,,
Portreath,St Mary’s Church,"Penberthy Road, Portreath, Cornwall",TR16 4LW,,
